count,pos,description,pos_type,word
1,,,"nn","Woolio\"
2,,,"nn","FREEZER"
5,,,"nn","PITIT"
13,,,"nn","dra"
5,,,"nnp","Jerry"
1,,,"nn","formaldehyde"
3,,,"nnp","Light"
1,,,"nn","ESE"
1,,,"nns","topos"
1,,,"nn","gresie"
1,,,"nn","antènne"
8,,,"nn","enfomasyon"
1,,,"nns","two-thirds"
24,,,"nn","Gonave"
1,,,"nn","KOMI"
1,,,"nn","Courtesy"
1,,,"nn","-flon"
1,,,"nn","Boyer&gt"
1,,,"nn","Medevac"
1,,,"nns","Unidas"
15,,,"nn","soley"
2,,,"nn","+View"
5,,,"nn","michel"
1,,,"nn","mgr"
2,,,"nn","lony"
1,,,"nns","Aftershocks"
1,,,"nn","sunburn"
1,,,"nn","MESS…"
1,,,"nn","@scharlesjr"
2,,,"nns","heads"
1,,,"nn","Senmak"
4,,,"nn","bezien"
1,,,"nn","@IstanbulTWSTVL"
1,,,"nn","KOKTO"
2,,,"nns","spigots"
1,,,"nn","remet"
1,,,"nn","Leurbourg"
14,,,"nn","MINUSTAH"
1,,,"nn","validity"
1,,,"nns","approximatives"
2,,,"nn","Capion"
1,,,"nn","s\&quot"
1,,,"nn","lakwa"
2,,,"nn","orevwa"
1,,,"nn","Tigoave"
1,,,"nn","CHLOE"
19,,,"nn","beswen"
1,,,"nn","Bande"
3,,,"nns","neighbors"
5,,,"nn","Maisonneuve"
1,,,"nn","Mond"
1,,,"nn","Grandfo"
1,,,"nn","titanyen"
1,,,"nn","guard"
3,,,"nn","chr"
2,,,"nn","PHILIPPE"
2,,,"nnp","Lazard"
2,,,"nn","ath"
1,,,"nn","childern"
1,,,"FW","Enfant"
1,,,"nn","Quan"
1,,,"nn","Carre-four"
1,,,"nns","Parts"
1,,,"nn","PIWO"
1,,,"nn","Djoumballa"
3,,,"nns","aftershocks"
19,,,"nn","Jacquet"
2,,,"nn","dez*d"
1,,,"nn","Espelitane"
4,,,"nn","patisipe"
12,,,"nn","Prolonge"
1,,,"nn","mwm"
10,,,"nn","sale"
1,,,"nn","evedman"
160,,,"nn","ka"
1,,,"nn","prisoner"
1,,,"nn","infront"
1,,,"nn","safe&quot"
1,,,"nn","nounanlapli"
1,,,"nn","laham"
2,,,"nn","Mardy"
1,,,"nn","stand"
1,,,"nn","Krisyanvil"
8,,,"nn","riviere"
1,,,"nn","atè"
1,,,"nn","pansement&quot"
1,,,"nn","Mondesir"
1,,,"nn","dor"
2,,,"nn","core"
1,,,"nn","ginen"
2,,,"nn","weather"
1,,,"FW","annee"
2,,,"nn","Skin"
1,,,"nn","ONAVIL"
4,,,"nn","Babiole"
1,,,"nn","souf"
4,,,"nn","Lagonav"
1,,,"nn","Deville"
1,,,"nn","Polisye"
1,,,"nn","BLOOD"
1,,,"nn","gouveman"
1,,,"nn","MISERICORDE"
1,,,"nn","doudou"
4,,,"nn","ACIREH"
4,,,"nn","Charnel"
1,,,"nn","BLVD"
3,,,"nn","@WFPlogistics"
2,,,"nn","healthcare"
9,,,"nn","silo"
1,,,"nn","siklon"
37,,,"nnp","SOS"
1,,,"nn","Mwensalyenou"
1,,,"nn","merge"
1,,,"nn","backstreet"
2,,,"nns","hills"
1,,,"nn","Jacson"
2,,,"nn","Bienvenue"
5,,,"nns","ps"
1,,,"nn","germaij"
3,,,"nn","CHAMPAGNE"
2,,,"nn","permettre"
3,,,"nn","ijan"
10,,,"nn","distribution["
6,,,"nn","Marianne"
1,,,"nn","CORAILLE"
1,,,"nn","knowledge"
3,,,"nnp","Fran"
2,,,"nns","MEDICS"
101,,,"nn","NEED"
1,,,"nnp","Life"
1,,,"nn","reconstruire"
2,,,"nn","manJe"
1,,,"nn","apolleon"
1,,,"nnp","Therapy"
2,,,"nn","QUAI"
1,,,"nn","entourante"
1,,,"nn","paginnin"
1,,,"nns","contactez-nous"
2,,,"nn","SHEC"
7,,,"nn","garaj"
3,,,"nn","emmanuel"
1,,,"nns","différents"
30,,,"nn","Plaine"
1,,,"nnp","Rex"
2,,,"nn","og"
2,,,"nn","haiti-earthquake-"
1,,,"nn","vicieux"
2,,,"nn","pajann"
1,,,"nns","miques"
1,,,"nn","-month"
1,,,"nn","Cornillon"
1,,,"nn","Can\"
1,,,"nn","canap*vert"
7,,,"nn","msg"
1,,,"nn","Prezidan"
1,,,"nn","Comissariat"
1,,,"nn","blend"
1,,,"nn","Gorden"
5,,,"nnp","Guy"
1,,,"nns","piers"
1,,,"nn","salezien"
1,,,"nn","presan"
2,,,"nn","HOMME"
3,,,"nn","Morgue"
1,,,"nn","Sadrac"
1,,,"nn","kominike"
1,,,"nn","dezidratasyon"
1,,,"nn","Asnel"
31,,,"nn","par"
1,,,"nn","mirake"
2,,,"nnp","Deaths"
1,,,"nn","webert"
1,,,"nn","LAZARD"
4,,,"nn","CHRIST-ROI"
2,,,"nn","PAJANB"
1,,,"nn","PUELA"
1,,,"nn","Fiak"
15,,,"nn","TIMOUN"
9,,,"nns","Families"
1,,,"nn","takou"
1,,,"nn","Silvouple"
2,,,"nn","Magalie"
1,,,"nn","codada"
1,,,"nn","Edie"
1,,,"nns","pers"
5,,,"nns","BOUQUETS"
1,,,"nn","tamaren"
1,,,"nn","CHINEL"
1,,,"nn","VIDES"
14,,,"nn","ambroise"
17,,,"nn","air"
4,,,"nnp","Edward"
1,,,"nn","Antenor"
13,,,"nn","janvier"
7,,,"nn","SWAF"
1,,,"nnp","Rebecca"
17,,,"nn","condition"
2,,,"nn","jean-ebel"
2,,,"nn","Ecclesiaste"
2,,,"nn","Bouquest"
7,,,"nn","lack"
1,,,"nn","EITTE"
11,,,"nn","sen"
3,,,"nn","ANTRE"
1,,,"nns","plans"
1,,,"nn","‘Infotronique"
1,,,"nn","denier"
1,,,"nns","zans"
3,,,"nnp","Dupont"
2,,,"nn","chofe"
1,,,"nns","medicals"
1,,,"nn","LAMOTHE"
1,,,"nn","AUTORITES"
4,,,"nn","flash"
1,,,"nn","family-size"
25,,,"nn","centre"
